[nb-items] 110
[nb-objectives] 2
[nb-pareto] 141
[nb-lorenz] 6
[runtime] 19.04650592803955
[format] f1 f2 isLorenzND
[vector] 44123 43542 True
[vector] 45283 42544 True
[vector] 45212 42602 True
[vector] 43810 43833 True
[vector] 45076 42682 True
[vector] 44543 43177 True
[vector] 39183 45454 False
[vector] 43854 43787 False
[vector] 46207 41383 False
[vector] 45112 42641 False
[vector] 43885 43695 False
[vector] 40076 45259 False
[vector] 44423 43221 False
[vector] 45987 41709 False
[vector] 41738 44862 False
[vector] 46692 40533 False
[vector] 37009 45620 False
[vector] 39373 45397 False
[vector] 42531 44507 False
[vector] 43632 43850 False
[vector] 44630 43083 False
[vector] 39240 45407 False
[vector] 44864 42776 False
[vector] 46746 40335 False
[vector] 45933 41730 False
[vector] 36356 45716 False
[vector] 44861 42798 False
[vector] 43603 43901 False
[vector] 45513 42221 False
[vector] 44750 42937 False
[vector] 39630 45351 False
[vector] 45332 42392 False
[vector] 46440 41048 False
[vector] 38188 45552 False
[vector] 41688 44865 False
[vector] 46023 41635 False
[vector] 41918 44726 False
[vector] 46130 41462 False
[vector] 35011 45779 False
[vector] 44952 42683 False
[vector] 40995 45108 False
[vector] 46082 41623 False
[vector] 44154 43450 False
[vector] 44256 43318 False
[vector] 39426 45367 False
[vector] 46220 41367 False
[vector] 47324 37789 False
[vector] 41832 44832 False
[vector] 47232 38374 False
[vector] 46953 39713 False
[vector] 47284 38247 False
[vector] 47005 39586 False
[vector] 39772 45350 False
[vector] 41964 44709 False
[vector] 44669 42991 False
[vector] 41711 44864 False
[vector] 44559 43141 False
[vector] 45478 42260 False
[vector] 43572 43993 False
[vector] 38665 45523 False
[vector] 46817 40221 False
[vector] 46350 41143 False
[vector] 42957 44333 False
[vector] 44252 43398 False
[vector] 39962 45293 False
[vector] 43871 43706 False
[vector] 42140 44669 False
[vector] 44821 42832 False
[vector] 43326 44010 False
[vector] 46507 40909 False
[vector] 41301 44968 False
[vector] 44932 42723 False
[vector] 44324 43313 False
[vector] 41472 44911 False
[vector] 42330 44612 False
[vector] 36422 45702 False
[vector] 40780 45189 False
[vector] 44884 42774 False
[vector] 45467 42292 False
[vector] 36121 45728 False
[vector] 44334 43273 False
[vector] 45721 42098 False
[vector] 47376 37662 False
[vector] 39094 45466 False
[vector] 43070 44198 False
[vector] 42985 44221 False
[vector] 44021 43615 False
[vector] 46424 41062 False
[vector] 40364 45249 False
[vector] 43271 44142 False
[vector] 40659 45221 False
[vector] 43047 44215 False
[vector] 46278 41362 False
[vector] 47095 39131 False
[vector] 47151 38803 False
[vector] 37880 45577 False
[vector] 47043 39258 False
[vector] 41235 44996 False
[vector] 45809 42005 False
[vector] 39451 45354 False
[vector] 38973 45498 False
[vector] 41889 44760 False
[vector] 45905 41740 False
[vector] 45311 42432 False
[vector] 38486 45526 False
[vector] 44587 43131 False
[vector] 42790 44505 False
[vector] 42269 44617 False
[vector] 46891 39986 False
[vector] 42840 44353 False
[vector] 46640 40660 False
[vector] 45631 42193 False
[vector] 42332 44548 False
[vector] 42821 44413 False
[vector] 43358 44004 False
[vector] 46819 40091 False
[vector] 42079 44703 False
[vector] 47097 39001 False
[vector] 37843 45617 False
[vector] 41045 45053 False
[vector] 45995 41645 False
[vector] 36860 45664 False
[vector] 41111 45025 False
[vector] 36915 45643 False
[vector] 43278 44053 False
[vector] 42371 44523 False
[vector] 44611 43090 False
[vector] 44794 42891 False
[vector] 46117 41478 False
[vector] 45823 41892 False
[vector] 45447 42352 False
[vector] 42972 44230 False
[vector] 44642 42998 False
[vector] 43664 43844 False
[vector] 45719 42100 False
[vector] 44825 42799 False
[vector] 44380 43269 False
[vector] 45897 41804 False
[vector] 47222 38689 False
[vector] 39886 45316 False
[vector] 44906 42762 False
