[nb-items] 190
[nb-objectives] 2
[nb-pareto] 372
[nb-lorenz] 63
[runtime] 298.2374908924103
[format] f1 f2 isLorenzND
[vector] 75308 72202 True
[vector] 79362 69109 True
[vector] 77716 70524 True
[vector] 76984 71081 True
[vector] 74253 72740 True
[vector] 78437 69939 True
[vector] 76892 71144 True
[vector] 75332 72199 True
[vector] 79425 69048 True
[vector] 77401 70832 True
[vector] 74561 72572 True
[vector] 76490 71411 True
[vector] 79000 69445 True
[vector] 75828 71911 True
[vector] 73803 72967 True
[vector] 76339 71535 True
[vector] 78976 69454 True
[vector] 75113 72307 True
[vector] 75508 72110 True
[vector] 79312 69150 True
[vector] 73411 73098 True
[vector] 78906 69517 True
[vector] 74334 72685 True
[vector] 76447 71446 True
[vector] 76592 71382 True
[vector] 77021 71065 True
[vector] 74431 72681 True
[vector] 75030 72339 True
[vector] 76107 71673 True
[vector] 76562 71390 True
[vector] 76272 71581 True
[vector] 78590 69811 True
[vector] 77960 70361 True
[vector] 76690 71319 True
[vector] 77173 70964 True
[vector] 75981 71783 True
[vector] 77113 71007 True
[vector] 73275 73188 True
[vector] 76180 71614 True
[vector] 79929 68629 True
[vector] 76226 71611 True
[vector] 73702 73017 True
[vector] 76853 71163 True
[vector] 78520 69862 True
[vector] 74999 72357 True
[vector] 77857 70424 True
[vector] 73963 72908 True
[vector] 75230 72247 True
[vector] 73601 73041 True
[vector] 74609 72562 True
[vector] 74638 72543 True
[vector] 77248 70960 True
[vector] 74951 72390 True
[vector] 79578 68920 True
[vector] 74710 72538 True
[vector] 77820 70460 True
[vector] 73475 73096 True
[vector] 78237 70132 True
[vector] 74793 72508 True
[vector] 75708 71923 True
[vector] 78136 70186 True
[vector] 73891 72913 True
[vector] 74058 72886 True
[vector] 82152 63249 False
[vector] 73708 72989 False
[vector] 78441 69888 False
[vector] 69880 74186 False
[vector] 82191 63225 False
[vector] 81450 65970 False
[vector] 78652 69699 False
[vector] 77824 70441 False
[vector] 79941 68458 False
[vector] 77569 70599 False
[vector] 72140 73597 False
[vector] 82024 63877 False
[vector] 66460 74627 False
[vector] 82489 60926 False
[vector] 79629 68753 False
[vector] 79968 68420 False
[vector] 68868 74385 False
[vector] 77563 70652 False
[vector] 63033 74746 False
[vector] 69228 74310 False
[vector] 81896 64451 False
[vector] 81282 66385 False
[vector] 80732 67403 False
[vector] 80132 68180 False
[vector] 66695 74615 False
[vector] 81878 64582 False
[vector] 70274 74111 False
[vector] 78449 69887 False
[vector] 80392 67847 False
[vector] 81644 65446 False
[vector] 81685 65307 False
[vector] 81998 64107 False
[vector] 71730 73700 False
[vector] 64219 74736 False
[vector] 72955 73387 False
[vector] 69176 74360 False
[vector] 82499 60593 False
[vector] 81272 66580 False
[vector] 78525 69836 False
[vector] 73524 73043 False
[vector] 76391 71470 False
[vector] 80752 67356 False
[vector] 68451 74458 False
[vector] 78655 69695 False
[vector] 67976 74482 False
[vector] 80067 68275 False
[vector] 73059 73208 False
[vector] 72557 73446 False
[vector] 75622 71946 False
[vector] 71170 73855 False
[vector] 80729 67466 False
[vector] 80129 68243 False
[vector] 78649 69736 False
[vector] 82000 64011 False
[vector] 80864 67300 False
[vector] 82076 63750 False
[vector] 71683 73711 False
[vector] 76140 71618 False
[vector] 82334 62306 False
[vector] 72330 73540 False
[vector] 71821 73690 False
[vector] 68573 74440 False
[vector] 82287 62767 False
[vector] 80230 68068 False
[vector] 81182 66675 False
[vector] 76756 71224 False
[vector] 73089 73204 False
[vector] 76407 71448 False
[vector] 81820 64976 False
[vector] 75388 72122 False
[vector] 69918 74155 False
[vector] 74455 72619 False
[vector] 67606 74510 False
[vector] 82125 63503 False
[vector] 73619 73021 False
[vector] 82119 63551 False
[vector] 80649 67489 False
[vector] 79447 68972 False
[vector] 65900 74662 False
[vector] 81958 64155 False
[vector] 72262 73565 False
[vector] 77505 70657 False
[vector] 67780 74509 False
[vector] 81725 65073 False
[vector] 76709 71269 False
[vector] 72413 73453 False
[vector] 75664 71924 False
[vector] 79605 68767 False
[vector] 80337 67887 False
[vector] 65998 74660 False
[vector] 80284 68000 False
[vector] 81704 65153 False
[vector] 81857 64620 False
[vector] 65834 74676 False
[vector] 69581 74284 False
[vector] 79161 69248 False
[vector] 67003 74590 False
[vector] 81912 64391 False
[vector] 79448 68941 False
[vector] 80646 67552 False
[vector] 80517 67795 False
[vector] 71659 73746 False
[vector] 79125 69291 False
[vector] 78637 69763 False
[vector] 80236 68062 False
[vector] 80558 67695 False
[vector] 82540 60588 False
[vector] 81130 66746 False
[vector] 65039 74712 False
[vector] 69599 74264 False
[vector] 63765 74742 False
[vector] 71287 73840 False
[vector] 77473 70732 False
[vector] 81477 65914 False
[vector] 82232 63034 False
[vector] 76700 71291 False
[vector] 82241 62774 False
[vector] 81756 65039 False
[vector] 80916 67158 False
[vector] 65480 74677 False
[vector] 70109 74151 False
[vector] 82484 61168 False
[vector] 80203 68134 False
[vector] 81120 66930 False
[vector] 77746 70463 False
[vector] 76069 71689 False
[vector] 80589 67577 False
[vector] 78805 69571 False
[vector] 73334 73100 False
[vector] 82005 63915 False
[vector] 75659 71930 False
[vector] 76019 71736 False
[vector] 80050 68342 False
[vector] 81661 65325 False
[vector] 70758 74001 False
[vector] 75995 71745 False
[vector] 81943 64357 False
[vector] 72195 73586 False
[vector] 77320 70860 False
[vector] 76139 71627 False
[vector] 78753 69645 False
[vector] 77672 70536 False
[vector] 78054 70190 False
[vector] 80268 68039 False
[vector] 74811 72488 False
[vector] 79035 69379 False
[vector] 81355 66187 False
[vector] 73293 73168 False
[vector] 78324 70041 False
[vector] 81515 65758 False
[vector] 82543 59775 False
[vector] 74081 72746 False
[vector] 69366 74303 False
[vector] 76457 71429 False
[vector] 75524 72036 False
[vector] 76906 71103 False
[vector] 77598 70598 False
[vector] 81307 66259 False
[vector] 81391 66091 False
[vector] 77041 71028 False
[vector] 82212 63204 False
[vector] 72366 73481 False
[vector] 77985 70296 False
[vector] 79144 69263 False
[vector] 79454 68931 False
[vector] 80064 68338 False
[vector] 81128 66796 False
[vector] 78021 70255 False
[vector] 80149 68153 False
[vector] 78046 70220 False
