[nb-items] 140
[nb-objectives] 2
[nb-pareto] 21
[nb-lorenz] 21
[runtime] 3.8468170166015625
[format] f1 f2 isLorenzND
[vector] 55268 53553 True
[vector] 56143 52862 True
[vector] 54559 54017 True
[vector] 55106 53652 True
[vector] 54239 54256 True
[vector] 56103 52880 True
[vector] 56951 52211 True
[vector] 54290 54212 True
[vector] 55824 53129 True
[vector] 55990 52990 True
[vector] 55452 53403 True
[vector] 56160 52855 True
[vector] 54406 54145 True
[vector] 56239 52800 True
[vector] 54953 53780 True
[vector] 55751 53198 True
[vector] 54633 53979 True
[vector] 56463 52663 True
[vector] 57065 52164 True
[vector] 55599 53299 True
[vector] 55908 53054 True
