[nb-items] 150
[nb-objectives] 2
[nb-pareto] 29
[nb-lorenz] 29
[runtime] 8.059980869293213
[format] f1 f2 isLorenzND
[vector] 60315 55414 True
[vector] 59519 56035 True
[vector] 58920 56472 True
[vector] 57831 57078 True
[vector] 60568 55182 True
[vector] 57507 57256 True
[vector] 58378 56713 True
[vector] 58282 56776 True
[vector] 57328 57290 True
[vector] 58330 56746 True
[vector] 57707 57164 True
[vector] 59828 55734 True
[vector] 58540 56705 True
[vector] 59949 55630 True
[vector] 57402 57281 True
[vector] 58415 56707 True
[vector] 61227 54636 True
[vector] 58767 56600 True
[vector] 60016 55619 True
[vector] 58095 56915 True
[vector] 59046 56362 True
[vector] 58021 56984 True
[vector] 60199 55444 True
[vector] 60963 54867 True
[vector] 59240 56273 True
[vector] 57629 57176 True
[vector] 58177 56874 True
[vector] 60746 55079 True
[vector] 60172 55466 True
