[nb-items] 50
[nb-objectives] 4
[nb-pareto] 15
[nb-lorenz] 15
[runtime] 0.6397950649261475
[format] f1 f2 f3 f4 isLorenzND
[vector] 19771 18771 18548 18475 True
[vector] 20016 19505 18468 18361 True
[vector] 19854 19948 17994 18793 True
[vector] 19610 19527 18150 18726 True
[vector] 20001 19202 18244 18660 True
[vector] 20331 19082 18160 18801 True
[vector] 20108 19036 18161 18834 True
[vector] 19371 18919 18641 18358 True
[vector] 20260 19926 18312 18428 True
[vector] 19696 19129 18092 18937 True
[vector] 19457 18521 18583 18569 True
[vector] 20102 19107 18410 18572 True
[vector] 20098 19639 17905 19164 True
[vector] 19561 19281 18102 18795 True
[vector] 19692 19661 17587 19529 True
