[nb-items] 160
[nb-objectives] 2
[nb-pareto] 51
[nb-lorenz] 51
[runtime] 26.283168077468872
[format] f1 f2 isLorenzND
[vector] 62688 60270 True
[vector] 61404 60967 True
[vector] 62411 60456 True
[vector] 62158 60611 True
[vector] 65745 57915 True
[vector] 61638 60902 True
[vector] 65268 58387 True
[vector] 61339 61008 True
[vector] 63235 59966 True
[vector] 65136 58451 True
[vector] 63806 59489 True
[vector] 61749 60827 True
[vector] 61555 60910 True
[vector] 62862 60154 True
[vector] 62609 60309 True
[vector] 65204 58402 True
[vector] 63051 60068 True
[vector] 66024 57677 True
[vector] 62269 60536 True
[vector] 62531 60359 True
[vector] 63691 59587 True
[vector] 65064 58504 True
[vector] 61566 60903 True
[vector] 64464 59049 True
[vector] 64332 59113 True
[vector] 61867 60754 True
[vector] 62077 60634 True
[vector] 61945 60728 True
[vector] 62731 60267 True
[vector] 63981 59404 True
[vector] 61187 61071 True
[vector] 61902 60739 True
[vector] 63542 59689 True
[vector] 64144 59248 True
[vector] 61448 60959 True
[vector] 63388 59838 True
[vector] 62625 60303 True
[vector] 64200 59212 True
[vector] 64260 59166 True
[vector] 63894 59420 True
[vector] 64620 58938 True
[vector] 61204 61059 True
[vector] 61387 60979 True
[vector] 65769 57907 True
[vector] 63591 59641 True
[vector] 65848 57852 True
[vector] 63008 60071 True
[vector] 61135 61114 True
[vector] 62042 60647 True
[vector] 61522 60932 True
[vector] 63944 59414 True
