[nb-items] 180
[nb-objectives] 2
[nb-pareto] 37
[nb-lorenz] 37
[runtime] 20.932469129562378
[format] f1 f2 isLorenzND
[vector] 72956 67265 True
[vector] 69926 69134 True
[vector] 71105 68577 True
[vector] 70539 68885 True
[vector] 72221 67826 True
[vector] 71968 67981 True
[vector] 69792 69255 True
[vector] 69829 69219 True
[vector] 73590 66779 True
[vector] 69863 69193 True
[vector] 72694 67499 True
[vector] 71865 68044 True
[vector] 69579 69421 True
[vector] 72317 67731 True
[vector] 72374 67698 True
[vector] 72121 67853 True
[vector] 72073 67892 True
[vector] 70462 68914 True
[vector] 71281 68444 True
[vector] 70008 69104 True
[vector] 70905 68669 True
[vector] 73437 66907 True
[vector] 70961 68643 True
[vector] 71928 67983 True
[vector] 69964 69125 True
[vector] 70585 68868 True
[vector] 72527 67546 True
[vector] 74046 66371 True
[vector] 74362 66104 True
[vector] 70052 69079 True
[vector] 71481 68352 True
[vector] 73086 67198 True
[vector] 71832 68061 True
[vector] 70332 69023 True
[vector] 70138 69078 True
[vector] 70041 69082 True
[vector] 70662 68822 True
